"","name","birthYear","birthDate","gender","birthplace","dates"
"1","Hal Hicks","1900-01-01T00:00:00+02:00","1900-12-10","male","{Sillery Quebec City|Canada|Quebec}",1900-12-10
"2","Fred Gordon","1900-01-01T00:00:00+02:00","1900-05-06","male","{Saskatchewan|Canada|Fleming Saskatchewan}",1900-05-06
"3","Pete Bellefeuille","1900-01-01T00:00:00+02:00","1900-10-16","","{Trois-Rivières|Canada|Quebec}",1900-10-16
"4","Roy Worters","1900-01-01T00:00:00+02:00","1900-10-19","","{Ontario|Toronto|Canada}",1900-10-19
"5","Stan Crossett","1900-01-01T00:00:00+02:00","1900-04-18","","{Ontario|Tillsonburg|Canada}",1900-04-18
"6","Duke McCurry","1900-01-01T00:00:00+02:00","1900-06-13","male","{Ontario|Toronto|Canada}",1900-06-13
"7","Earl Campbell (ice hockey)","1900-01-01T00:00:00+02:00","1900-07-23","male","{Canada|Buckingham Quebec|Quebec}",1900-07-23
"8","Reg Mackey","1900-01-01T00:00:00+02:00","1900-05-07","male","{Ontario|North Gower Township Ontario|Canada}",1900-05-07
"9","Billy Stuart","1900-01-01T00:00:00+02:00","1900-02-01","male","{Ontario|Toronto|Canada}",1900-02-01
"10","Alva Sibbetts","1900-01-01T00:00:00+02:00","1900-12-29","male","{Manitoba|Canada|Forest_Manitoba}",1900-12-29
"11","Lorne Chabot","1900-01-01T00:00:00+02:00","1900-10-05","male","{Canada|Montreal|Quebec}",1900-10-05
"12","Wilfred White (ice hockey)","1900-01-01T00:00:00+02:00","1900-06-26","","{Ontario|Canada|Erin Ontario}",1900-06-26
"13","John Ross Roach","1900-01-01T00:00:00+02:00","1900-06-23","male","{Ontario|Port Perry|Canada}",1900-06-23
"14","Gord McFarlane","1901-01-01T00:00:00+02:00","1901-07-18","male","{Manitoba|Snow Lake Manitoba|Canada}",1901-07-18
"15","Roland Paulhus","1901-01-01T00:00:00+02:00","1901-09-01","male","{Sorel-Tracy|Canada|Quebec}",1901-09-01
"16","Hap Day","1901-01-01T00:00:00+02:00","1901-06-01","male","{Ontario|Owen Sound|Canada}",1901-06-01
"17","Aurèle Joliat","1901-01-01T00:00:00+02:00","1901-08-29","","{Ontario|Ottawa|Canada}",1901-08-29
"18","Albert Hughes (ice hockey)","1901-01-01T00:00:00+02:00","1901-05-13","male","{Ontario|Guelph|Canada}",1901-05-13
"19","George Owen (ice hockey)","1901-01-01T00:00:00+02:00","1901-02-12","male","{Hamilton Ontario|Ontario|Canada}",1901-02-12
"20","Lionel Hitchman","1901-01-01T00:00:00+02:00","1901-11-03","","{Ontario|Toronto|Canada}",1901-11-03
"21","Frank Boucher","1901-01-01T00:00:00+02:00","1901-10-07","","{Ontario|Ottawa|Canada}",1901-10-07
"22","Fred Lowrey","1902-01-01T00:00:00+02:00","1902-08-12","","{Ontario|Ottawa|Canada}",1902-08-12
"23","Gene Chouinard","1902-01-01T00:00:00+02:00","1902-01-05","","{Ontario|Ottawa|Canada}",1902-01-05
"24","Rolly Huard","1902-01-01T00:00:00+02:00","1902-09-06","male","{Ontario|Ottawa|Beauharnois Quebec|Canada|Quebec}",1902-09-06
"25","Mike Neville (ice hockey)","1902-01-01T00:00:00+02:00","1902-10-11","male","{Ontario|Grand-Mère Quebec|Toronto|Canada|Quebec}",1902-10-11
"26","Harold Cotton (ice hockey)","1902-01-01T00:00:00+02:00","1902-11-05","","{Ontario|Canada|Nanticoke Ontario}",1902-11-05
"27","Harold Darragh","1902-01-01T00:00:00+02:00","1902-09-13","male","{Ontario|Ottawa|Canada}",1902-09-13
"28","Eddie McCalmon","1902-01-01T00:00:00+02:00","1902-05-30","","{Ontario|Canada|Varney Ontario}",1902-05-30
"29","Eddie Shore","1902-01-01T00:00:00+02:00","1902-11-25","","{Saskatchewan|Canada|Fort Qu'Appelle}",1902-11-25
"30","Art Somers","1902-01-01T00:00:00+02:00","1902-01-19","male","{Manitoba|Winnipeg|Canada}",1902-01-19
"31","Albert Holway","1902-01-01T00:00:00+02:00","1902-09-24","","{Ontario|Toronto|Canada}",1902-09-24
"32","Albert Leduc","1902-01-01T00:00:00+02:00","1902-11-22","male","{Salaberry-de-Valleyfield|Canada|Quebec}",1902-11-22
"33","Alec Connell","1902-01-01T00:00:00+02:00","1902-02-08","","{Ontario|Ottawa|Canada}",1902-02-08
"34","Sylvio Mantha","1902-01-01T00:00:00+02:00","1902-04-14","","{Canada|Montreal|Quebec}",1902-04-14
"35","Bill Phillips (ice hockey)","1902-01-01T00:00:00+02:00","1902-09-23","male","{Ontario|Canada|Carleton Place}",1902-09-23
"36","Jim Cain (ice hockey)","1902-01-01T00:00:00+02:00","1902-02-01","male","{Ontario|Newmarket Ontario|Canada}",1902-02-01
