Albert Pudas,1899-01-01T00:00:00+02:00,1899-02-17,male,{Grand Duchy of Finland|Siikajoki|Russian Empire}
Holger Granström,1917-01-01T00:00:00+02:00,1917-12-25,male,{Finland|Ruokolahti}
Matti Wasama,1918-01-01T00:00:00+02:00,1918-01-14,,{Finland|Tampere}
Kalle Havulinna,1924-01-01T00:00:00+02:00,1924-09-27,male,{Finland|Tampere}
Aarne Honkavaara,1924-01-01T00:00:00+02:00,1924-06-07,,{Finland|Tampere}
Pentti Lund,1925-01-01T00:00:00+02:00,1925-12-06,,{Finland|Karijoki}
Esko Tie,1928-01-01T00:00:00+02:00,1928-12-26,male,Vanaja (Finland)
Erkki Koiso,1934-01-01T00:00:00+02:00,1934-04-13,male,{Finland|Tampere}
Lasse Heikkilä,1934-01-01T00:00:00+02:00,1934-05-27,male,{Finland|Pori}
Lasse Oksanen,1942-01-01T00:00:00+02:00,1942-12-07,male,{Finland|Tampere}
Jarmo Wasama,1943-01-01T00:00:00+02:00,1943-12-02,male,{Finland|Elimäki}
Reijo Hakanen,1943-01-01T00:00:00+02:00,1943-08-20,male,{Finland|Kangasala}
Stig Wetzell,1945-01-01T00:00:00+02:00,1945-10-07,male,{Finland|Vaasa}
Pekka Marjamäki,1947-01-01T00:00:00+02:00,1947-12-18,male,{Finland|Tampere}
Juha Widing,1947-01-01T00:00:00+02:00,1947-07-04,,{Finland|Oulu}
Timo Turunen,1948-01-01T00:00:00+02:00,1948-04-08,male,{Finland|Outokumpu Finland}
Heikki Riihiranta,1948-01-01T00:00:00+02:00,1948-10-04,,{Finland|Helsinki}
Veikko Suominen,1948-01-01T00:00:00+02:00,1948-05-05,,{Finland|Rauma Finland}
Veli-Pekka Ketola,1948-01-01T00:00:00+02:00,1948-03-28,male,{Finland|Pori}
Tommi Salmelainen,1949-01-01T00:00:00+02:00,1949-01-29,male,{Finland|Helsinki}
Lauri Mononen,1950-01-01T00:00:00+02:00,1950-03-22,,{Finland|Joensuu}
Juhani Tamminen,1950-01-01T00:00:00+02:00,1950-05-26,male,{Finland|Turku}
Hannu Kapanen,1951-01-01T00:00:00+02:00,1951-03-13,male,{Finland|Kontiolahti}
Rauno Korpi,1951-01-01T00:00:00+02:00,1951-06-25,male,{Finland|Tampere}
Hannu Aravirta,1953-01-01T00:00:00+02:00,1953-03-26,,{Finland|Savonlinna}
Pekka Rautakallio,1953-01-01T00:00:00+02:00,1953-07-25,male,{Finland|Pori}
Martti Jarkko,1953-01-01T00:00:00+02:00,1953-11-26,male,{Finland|Turku|Tampere}
Harri Rindell,1954-01-01T00:00:00+02:00,1954-01-17,male,{Finland|Helsinki}
Antero Lehtonen,1954-01-01T00:00:00+02:00,1954-04-12,,{Finland|Tampere}
Mikko Leinonen,1955-01-01T00:00:00+02:00,1955-07-15,male,{Finland|Tampere}
Antero Kivelä,1955-01-01T00:00:00+02:00,1955-12-26,male,{Finland|Pori}
Matti Hagman,1955-01-01T00:00:00+02:00,1955-09-21,,{Finland|Helsinki}
Kari Makkonen,1955-01-01T00:00:00+02:00,1955-01-20,,{Finland|Harjavalta}
Jouni Rinne,1956-01-01T00:00:00+02:00,1956-02-12,male,{Finland|Rauma Finland}
Tapio Levo,1956-01-01T00:00:00+02:00,1956-09-24,male,{Finland|Pori}
Kari Eloranta,1956-01-01T00:00:00+02:00,1956-02-29,male,{Finland|Lahti}
Erkki Laine,1957-01-01T00:00:00+02:00,1957-09-13,male,{Finland|Lahti}
Markus Mattsson,1957-01-01T00:00:00+02:00,1957-07-30,male,{Finland|Nokia Finland}
Risto Siltanen,1958-01-01T00:00:00+02:00,1958-10-31,male,{Finland|Mänttä}
Ilkka Sinisalo,1958-01-01T00:00:00+02:00,1958-07-10,male,{Finland|Valkeakoski}
Arto Javanainen,1959-01-01T00:00:00+02:00,1959-04-08,male,{Finland|Pori}
Hannu Viirlas,1960-01-01T00:00:00+02:00,1960-06-12,,{Finland|Turku}
Pekka Arbelius,1960-01-01T00:00:00+02:00,1960-06-26,male,{Finland|Oulu}
Pekka Tuomisto,1960-01-01T00:00:00+02:00,1960-12-29,male,{Finland|Oulu}
Mika Helkearo,1960-01-01T00:00:00+02:00,1960-10-04,male,{Finland|Forssa}
Jari Kurri,1960-01-01T00:00:00+02:00,1960-05-18,male,{Finland|Helsinki}
Kai Suikkanen,1960-01-01T00:00:00+02:00,1960-09-28,male,{Finland|Parkano}
Reijo Ruotsalainen,1960-01-01T00:00:00+02:00,1960-04-01,male,{Finland|Oulu}
Matti Virmanen,1960-01-01T00:00:00+02:00,1960-11-30,,{Finland|Helsinki}
Kari Jalonen,1960-01-01T00:00:00+02:00,1960-01-06,,{Finland|Oulu}
Timo Blomqvist,1961-01-01T00:00:00+02:00,1961-01-23,male,{Finland|Helsinki}
Jyrki Seppä,1961-01-01T00:00:00+02:00,1961-11-14,,{Finland|Tampere}
Petteri Lehto,1961-01-01T00:00:00+02:00,1961-03-13,male,{Finland|Turku}
Markku Kyllönen,1962-01-01T00:00:00+02:00,1962-02-15,male,{Finland|Joensuu}
Jukka Tammi,1962-01-01T00:00:00+02:00,1962-04-10,male,{Finland|Tampere}
Arto Sirviö,1962-01-01T00:00:00+02:00,1962-01-06,male,{Finland|Sotkamo}
Raimo Summanen,1962-01-01T00:00:00+02:00,1962-03-02,male,{Finland|Jyväskylä}
Petri Skriko,1962-01-01T00:00:00+02:00,1962-03-12,male,{Finland|Lappeenranta}
Petri Ylönen,1962-01-01T00:00:00+02:00,1962-10-02,,{Finland|Helsinki}
Kari Takko,1962-01-01T00:00:00+02:00,1962-06-23,,{Finland|Uusikaupunki}
Timo Jutila,1963-01-01T00:00:00+02:00,1963-12-24,,{Finland|Tampere}
Hannu Virta,1963-01-01T00:00:00+02:00,1963-03-22,male,{Finland|Turku}
Simo Saarinen,1963-01-01T00:00:00+02:00,1963-02-14,,{Finland|Helsinki}
Jukka Rautakorpi,1963-01-01T00:00:00+02:00,1963-12-17,,{Finland|Kauhajoki}
