"","Salary","Born","City","Cntry","Nat","Ht","Wt","DftYr","Hand","Last.Name","First.Name","Position","Team"
"1",925000,"97-01-30","Sainte-Marie","Canada","Canada",74,190,2015,"L","Chabot","Thomas","D","OTT"
"2",2250000,"93-12-21","Ottawa","Canada","Canada",74,207,2012,"R","Ceci","Cody","D","OTT"
"4",3500000,"92-01-07","Ottawa","Canada","Canada",77,220,2010,"R","Gudbranson","Erik","D","VAN"
"5",1750000,"94-03-29","Toronto","Canada","Canada",76,217,2012,"R","Wilson","Tom","RW","WSH"
"6",1500000,"79-05-23","Strathroy","Canada","Canada",70,192,1997,"L","Campbell","Brian","D","CHI"
"8",842500,"93-07-28","Toronto","Canada","Canada",70,183,NA,"R","Rodrigues","Evan","LW/C","BUF"
"9",1250000,"92-06-14","Scarborough","Canada","Canada",72,214,2010,"R","Smith-Pelly","Devante","RW/C/LW","N.J"
"10",925000,"93-04-27","Petawawa","Canada","Canada",68,178,2011,"L","Peca","Matthew","C","T.B"
"11",8e+05,"86-07-27","Lively","Canada","Canada",73,195,NA,"L","Desjardins","Andrew","LW/C","CHI"
"12",6e+05,"92-04-09","Ile Bizard","Canada","Canada",74,204,2010,"L","Chaput","Michael","C","VAN"
"13",1e+06,"88-03-17","Brandon","Canada","Canada",72,200,2006,"R","White","Ryan","C","ARI/MIN"
"14",925000,"96-06-20","Holland Landing","Canada","Canada",73,186,2014,"L","Bennett","Sam","C","CGY"
"15",950000,"89-04-20","Red Deer","Canada","Canada",72,195,2007,"R","Sceviour","Colton","C/RW","FLA"
"16",680000,"94-01-06","Edmonton","Canada","Canada",74,187,2012,"L","Kulak","Brett","D","CGY"
"17",590000,"92-04-24","Oakville","Canada","Canada",71,183,2011,"L","Wilson","Scott","LW/C","PIT"
"18",650000,"91-05-13","St. Catharines","Canada","Canada",74,203,2009,"R","Beck","Taylor","LW","EDM/NYR"
"21",5e+06,"94-03-09","Vancouver","Canada","Canada",73,215,2012,"L","Rielly","Morgan","D","TOR"
"22",5250000,"92-06-25","Wilcox","Canada","Canada",70,188,2010,"L","Schwartz","Jaden","LW/C","STL"
"27",9e+05,"98-03-14","St. Albert","Canada","Canada",71,191,2016,"L","Jost","Tyson","C/LW/RW","COL"
"28",3750000,"88-05-28","Sherbrooke","Canada","Canada",72,200,2007,"R","Perron","David","LW/RW","STL"
"31",6e+06,"91-08-22","Saskatoon","Canada","Canada",73,195,2009,"L","Schenn","Brayden","C/LW","PHI"
"33",724500,"92-10-26","Toronto","Canada","Canada",72,192,2011,"L","Cramarossa","Joseph","C/LW","ANA/VAN"
"34",725000,"91-11-01","Sherwood Park","Canada","Canada",72,188,NA,"L","Carr","Daniel","LW","MTL"
"36",8e+05,"90-09-23","Rimouski","Canada","Canada",70,206,2009,"L","Bourque","Gabriel","LW/RW","COL"
"45",1300000,"89-04-27","Ottawa","Canada","Canada",69,160,2007,"L","Byron","Paul","LW/C/RW","MTL"
"50",925000,"97-06-23","Mt. Brydges","Canada","Canada",76,220,2015,"L","Crouse","Lawson","LW","ARI"
"51",6e+06,"88-09-10","Thunder Bay","Canada","Canada",76,220,2006,"L","Staal","Jordan","C/LW","CAR"
"52",950000,"83-10-19","Unity","Canada","Canada",72,200,2002,"R","Gordon","Boyd","C/RW","PHI"
"58",925000,"93-02-10","Edmonton","Canada","Canada",74,194,2011,"L","Simpson","Dillon","D","EDM"
"59",6e+06,"90-09-20","Mississauga","Canada","Canada",73,211,2009,"L","Tavares","John","C","NYI"
"60",925000,"98-03-02","Calgary","Canada","Canada",73,180,2016,"R","Nylander","Alex","RW/LW","BUF"
"61",767500,"95-04-16","Cornwall","Canada","Canada",73,210,2013,"L","Elie","Remi","LW","DAL"
"64",750000,"83-02-02","Churchill","Canada","Canada",69,195,2001,"R","Tootoo","Jordin","RW","CHI"
"65",3100000,"87-05-02","Caroline","Canada","Canada",70,170,2005,"L","Russell","Kris","D","EDM"
"66",2350000,"94-07-25","Regina","Canada","Canada",72,183,2012,"R","Dumba","Matt","D","MIN"
"69",6750000,"83-10-03","Toronto","Canada","Canada",72,198,NA,"L","Giordano","Mark","D","CGY"
"71",650000,"96-05-27","Saskatoon","Canada","Canada",74,191,2014,"R","Nogier","Nelson","D","WPG"
"72",2600000,"91-07-27","Laval","Canada","Canada",76,218,2009,"L","Despres","Simon","D","ANA"
"74",925000,"94-04-07","Richmond","Canada","Canada",70,190,NA,"R","Stecher","Troy","D","VAN"
"75",2100000,"89-07-05","Meadow Lake","Canada","Canada",76,229,2007,"L","King","Dwight","LW/RW","L.A/MTL"
"78",5e+06,"87-09-03","Whitby","Canada","Canada",74,221,2005,"L","Neal","James","RW/LW","NSH"
"80",625000,"92-07-25","Brandon","Canada","Canada",72,202,2012,"L","Martinook","Jordan","LW/C","ARI"
"83",842500,"96-04-16","Edmonton","Canada","Canada",73,195,2014,"L","Quenneville","John","C","N.J"
"85",575000,"91-12-15","Saint-Narcisse","Canada","Canada",69,172,NA,"L","Gourde","Yanni","C","T.B"
"91",3250000,"85-02-19","Port McNeill","Canada","Canada",76,216,2004,"L","Stoner","Clayton","D","ANA"
"92",925000,"96-02-07","Windsor","Canada","Canada",76,216,2014,"R","Ekblad","Aaron","D","FLA"
"93",825000,"91-10-07","Hinsdale","United States","Canada",75,215,2011,"R","Manson","Josh","D","ANA"
"99",660000,"95-09-24","Winnipeg","Canada","Canada",76,213,2014,"R","Lernout","Brett","D","MTL"
"100",3e+06,"88-01-05","Drummondville","Canada","Canada",70,188,2006,"L","Perreault","Mathieu","C/LW","WPG"
"101",2500000,"86-12-20","Kindersley","Canada","Canada",72,192,2006,"R","Dorsett","Derek","RW","VAN"
"102",8e+05,"90-09-12","Burnaby","Canada","Canada",77,202,2008,"L","Wiercioch","Patrick","D","COL"
"105",3500000,"91-04-01","Toronto","Canada","Canada",72,185,2009,"L","Smith","Reilly","RW/C/LW","FLA"
"106",7e+06,"85-01-01","London","Canada","Canada",75,217,2003,"R","Carter","Jeff","C/RW","L.A"
"111",1e+06,"89-11-02","Saskatoon","Canada","Canada",74,229,2008,"R","Schenn","Luke","D","ARI"
"112",7e+05,"89-07-25","Toronto","Canada","Canada",76,225,2007,"L","Gazdic","Luke","LW","N.J"
"114",2750000,"90-11-13","New Westminster","Canada","Canada",76,230,NA,"L","Dillon","Brenden","D","S.J"
"116",7450000,"89-12-08","London","Canada","Canada",73,195,2008,"R","Doughty","Drew","D","L.A"
"118",750000,"95-03-22","Delta","Canada","Canada",69,179,2013,"L","Petan","Nic","LW/C","WPG"
"122",3e+06,"81-04-11","Pincourt","Canada","Canada",73,197,NA,"L","Burrows","Alex","LW/RW","OTT/VAN"
"127",950000,"90-06-04","Prince George","Canada","Canada",73,205,NA,"L","Manning","Brandon","D","PHI"
"128",3e+06,"86-10-12","Charlottetown","Canada","Canada",76,212,2005,"R","Mcquaid","Adam","D","BOS"
"131",6e+05,"89-11-01","Paris","Canada","Canada",74,199,2008,"R","Dalpe","Zac","C","MIN"
"133",575000,"87-01-01","Taber","Canada","Canada",72,205,2005,"R","Setoguchi","Devin","RW","L.A"
"136",575000,"90-08-16","Montrose","Canada","Canada",69,176,NA,"L","Jones","Connor","C/LW","NYI"
"143",7250000,"87-04-24","Montreal","Canada","Canada",72,201,2005,"R","Letang","Kris","D","PIT"
"144",3500000,"80-02-10","Montreal","Canada","Canada",72,179,1998,"L","Ribeiro","Mike","C","NSH"
"146",10900000,"87-08-07","Cole Harbour","Canada","Canada",71,200,2005,"L","Crosby","Sidney","C","PIT"
"147",667500,"97-01-02","Sault Ste. Marie","Canada","Canada",71,185,2015,"R","Speers","Blake","C","N.J"
"148",832500,"95-02-04","Hamilton","Canada","Canada",76,220,2013,"L","Nurse","Darnell","D","EDM"
"151",3500000,"84-10-29","Thunder Bay","Canada","Canada",76,208,2003,"L","Staal","Eric","C","MIN"
"152",9e+05,"92-04-20","Swan River","Canada","Canada",74,208,2010,"L","Ferland","Micheal","LW/RW","CGY"
"154",6e+05,"91-05-17","Pickering","Canada","Canada",73,210,2011,"L","Andreoff","Andy","LW/C","L.A"
"155",705000,"94-01-07","Ottawa","Canada","Canada",72,212,2013,"R","Weegar","Mackenzie","D","FLA"
"157",8e+06,"84-06-16","Brampton","Canada","Canada",76,212,2002,"L","Nash","Rick","RW/LW","NYR"
"158",4e+06,"90-06-07","Winnipeg","Canada","Canada",75,210,2008,"R","Stone","Michael","D","ARI/CGY"
"161",2500000,"87-05-07","Edmonton","Canada","Canada",72,190,NA,"L","Schlemko","David","D","S.J"
"162",740000,"95-08-04","Ottawa","Canada","Canada",73,206,2013,"R","Baptiste","Nicholas","RW","BUF"
"164",667500,"96-03-13","Calgary","Canada","Canada",70,166,2014,"R","Point","Brayden","C","T.B"
"165",4e+06,"86-09-29","Alfred","Canada","Canada",75,204,2005,"L","Pouliot","Benoit","LW","EDM"
"166",7e+05,"91-07-17","Wakaw","Canada","Canada",72,189,2009,"R","Vey","Linden","RW/C","CGY"
"180",625000,"93-01-04","Wallaceburg","Canada","Canada",69,191,2012,"R","Griffith","Seth","C/RW","FLA/TOR"
"183",4e+06,"86-06-14","Ilderton","Canada","Canada",70,185,NA,"R","Read","Matt","RW/LW","PHI"
"188",1100000,"92-01-30","Ottawa","Canada","Canada",70,184,2010,"L","Spooner","Ryan","C/LW","BOS"
"189",925000,"96-08-17","New Westminster","Canada","Canada",73,229,2014,"R","Virtanen","Jake","RW","VAN"
"191",3850000,"91-05-24","Winnipeg","Canada","Canada",72,190,2009,"L","Eakin","Cody","C","DAL"
"194",7e+05,"90-12-04","Vaughan","Canada","Canada",70,193,2009,"L","Varone","Phil","C","OTT"
"200",635000,"93-02-26","Toronto","Canada","Canada",74,215,NA,"L","Goodrow","Barclay","RW/C","S.J"
"201",3650000,"89-10-06","Edmonton","Canada","Canada",69,175,2008,"L","Ennis","Tyler","LW/C/RW","BUF"
"202",3750000,"92-12-07","Phoenix","United States","Canada",75,211,2011,"L","Couturier","Sean","C","PHI"
"204",950000,"90-02-23","Edmonton","Canada","Canada",74,205,2009,"L","Connauton","Kevin","D","ARI"
"206",2750000,"82-04-03","Edmonton","Canada","Canada",74,214,2000,"R","Engelland","Deryk","D","CGY"
"208",5e+06,"87-11-12","Edmonton","Canada","Canada",72,191,2006,"R","Little","Bryan","C/RW","WPG"
"209",1.1e+07,"89-05-13","Toronto","Canada","Canada",72,210,2007,"R","Subban","P.K.","D","NSH"
"210",6e+05,"93-04-27","Brampton","Canada","Canada",77,212,2011,"L","Graovac","Tyler","C","MIN"
"216",925000,"95-12-05","Orangeville","Canada","Canada",74,232,2014,"L","Ritchie","Nick","LW","ANA"
"222",575000,"87-01-07","Owen sound","Canada","Canada",72,205,2005,"R","Bass","Cody","C","NSH"
"224",4e+06,"89-08-14","New Westminster","Canada","Canada",73,190,2007,"R","Turris","Kyle","C","OTT"
"226",6e+05,"93-02-22","Langley","Canada","Canada",74,214,2011,"R","McNeill","Mark","C/RW","DAL"
"229",3e+06,"83-12-19","Mississauga","Canada","Canada",73,195,2002,"L","Stajan","Matt","C","CGY"
"230",832500,"94-10-13","Calgary","Canada","Canada",70,181,2013,"L","Shinkaruk","Hunter","C/LW","CGY"
"232",9e+05,"89-05-09","Consort","Canada","Canada",73,200,2007,"R","Nash","Riley","C/RW","BOS"
"236",1250000,"84-06-26","Binscarth","Canada","Canada",74,210,NA,"L","McLeod","Cody","LW/RW","COL/NSH"
"237",625000,"93-03-12","Burnaby","Canada","Canada",74,207,2011,"L","Wotherspoon","Tyler","D","CGY"
"238",9e+05,"80-11-11","Toronto","Canada","Canada",72,190,1999,"L","Kelly","Chris","C/LW","OTT"
"241",2900000,"91-05-09","Carp","Canada","Canada",73,197,2009,"L","de Haan","Calvin","D","NYI"
"243",640000,"93-01-07","Orangeville","Canada","Canada",73,184,NA,"R","Mitchell","Zack","RW","MIN"
"245",5e+06,"82-04-18","Regina","Canada","Canada",74,215,2000,"L","Hartnell","Scott","LW","CBJ"
"246",575000,"87-11-21","Camrose","Canada","Canada",71,180,NA,"L","Stollery","Karl","D","N.J"
"247",3100000,"87-06-14","Toronto","Canada","Canada",70,184,2005,"L","Cogliano","Andrew","LW/C/RW","ANA"
"248",8e+06,"88-06-07","Vancouver","Canada","Canada",75,236,2006,"L","Lucic","Milan","LW","EDM"
"249",6e+06,"89-03-28","Guelph","Canada","Canada",73,200,2007,"L","Couture","Logan","C/LW","S.J"
"252",575000,"92-05-31","Shawinigan","Canada","Canada",71,198,2010,"L","Bournival","Michael","LW","T.B"
"253",6e+06,"91-08-02","Vancouver","Canada","Canada",74,211,2009,"L","Kane","Evander","LW","BUF"
"256",667500,"95-02-24","Sudbury","Canada","Canada",72,198,2013,"L","Bertuzzi","Tyler","LW","DET"
"257",4250000,"89-11-29","Edmonton","Canada","Canada",69,164,2008,"R","Spurgeon","Jared","D","MIN"
"259",925000,"94-06-20","Pickering","Canada","Canada",70,185,NA,"L","Caggiula","Drake","LW/C","EDM"
"260",8e+05,"82-08-19","Summerside","Canada","Canada",72,193,2000,"L","Ott","Steve","C/LW","DET/MTL"
"262",7e+05,"86-09-30","Toronto","Canada","Canada",72,193,2005,"L","O'Reilly","Cal","C","BUF"
"263",5e+06,"87-01-21","St. Andrews","Canada","Canada",72,196,2005,"L","Helm","Darren","C","DET"
"264",840000,"93-07-20","Belleville","Canada","Canada",70,188,2011,"L","Cousins","Nick","C/LW","PHI"
"265",6e+05,"88-08-24","Maple Ridge","Canada","Canada",69,187,NA,"L","Hunt","Brad","D","NSH/STL"
"267",660000,"92-10-05","Glace Bay","Canada","Canada",75,202,2011,"R","Shaw","Logan","C/RW","ANA"
"268",2075000,"91-12-07","St. Catharines","Canada","Canada",75,226,2010,"L","Sheahan","Riley","C","DET"
"278",3275000,"80-12-02","North York","Canada","Canada",73,225,NA,"R","Ward","Joel","RW/C","S.J"
"279",1200000,"87-10-30","Toronto","Canada","Canada",74,239,2006,"R","Stewart","Chris","RW/LW","MIN"
"280",1300000,"81-06-11","Sudbury","Canada","Canada",71,181,1999,"L","MacKenzie","Derek","C/LW","FLA"
"282",650000,"81-12-10","Lac La Biche","Canada","Canada",74,217,NA,"L","Bourque","Rene","RW/LW","COL"
"283",5e+06,"93-03-15","Kitchener","Canada","Canada",75,207,2011,"R","Scheifele","Mark","C","WPG"
"290",1e+06,"83-11-29","Regina","Canada","Canada",73,213,2003,"L","Glass","Tanner","LW","NYR"
"291",692500,"94-06-01","Pickering","Canada","Canada",74,205,NA,"L","Renouf","Dan","D","DET"
"292",9e+05,"92-10-29","Sault Ste. Marie","Canada","Canada",73,196,2012,"R","Miller","Colin","D","BOS"
"293",575000,"93-05-26","Innisfil","Canada","Canada",74,205,2011,"R","Leivo","Josh","LW","TOR"
"296",650000,"93-02-05","Calgary","Canada","Canada",72,195,2011,"R","Rattie","Ty","RW","CAR/STL"
"297",1200000,"92-03-03","Edmonton","Canada","Canada",76,206,2010,"R","Petrovic","Alex","D","FLA"
"299",667500,"97-07-29","Edmonton","Canada","Canada",73,186,2015,"L","Guhle","Brendan","D","BUF"
"300",6e+06,"83-07-16","Winnipeg","Canada","Canada",73,192,2002,"L","Keith","Duncan","D","CHI"
"303",8e+05,"87-02-14","Thunder Bay","Canada","Canada",71,185,2005,"L","Pyatt","Tom","LW/C","OTT"
"304",4500000,"92-05-06","Edmonton","Canada","Canada",69,182,2010,"R","Gallagher","Brendan","RW","MTL"
"308",6e+06,"92-05-16","Toronto","Canada","Canada",71,200,2010,"L","Skinner","Jeff","LW/C/RW","CAR"
"309",6e+05,"87-02-13","Coquitlam","Canada","Canada",71,199,NA,"L","Street","Ben","C","DET"
"317",832500,"95-03-28","Ste-Agathe","Canada","Canada",71,188,2013,"L","Drouin","Jonathan","LW","T.B"
"321",1650000,"91-05-08","Vanier","Canada","Canada",76,215,2009,"L","Gelinas","Eric","D","COL"
"324",3500000,"86-09-14","Laurier-Station","Canada","Canada",67,176,NA,"L","Desharnais","David","C","EDM/MTL"
"329",575000,"93-04-06","Markham","Canada","Canada",72,192,2012,"L","Richard","Tanner","C","T.B"
"332",3800000,"89-11-24","Kitchener","Canada","Canada",72,180,2009,"L","Hoffman","Mike","LW/C","OTT"
"334",575000,"89-02-20","Toronto","Canada","Canada",71,174,2007,"R","Didomenico","Chris","C/RW","OTT"
"335",575000,"93-11-05","North Vancouver","Canada","Canada",73,200,2012,"R","Sissons","Colton","C","NSH"
"337",5750000,"89-07-18","Victoria","Canada","Canada",74,210,2007,"L","Benn","Jamie","LW","DAL"
"338",8e+05,"81-05-12","North Vancouver","Canada","Canada",72,200,NA,"L","Kearns","Bracken","C","NYI"
"342",575000,"94-05-22","Hamilton","Canada","Canada",74,203,NA,"L","McEneny","Evan","D","VAN"
"344",8e+05,"92-12-09","Edmonton","Canada","Canada",72,199,2011,"L","Morrow","Joe","D","BOS"
