"","Salary","Born","City","Cntry","Nat","Ht","Wt","DftYr","Hand","Last.Name","First.Name","Position","Team"
"54",1050000,"91-03-23","Pori","Finland","Finland",72,193,2009,"L","Haula","Erik","C/LW","MIN"
"117",5400000,"94-10-27","Turku","Finland","Finland",76,203,2013,"R","Ristolainen","Rasmus","D","BUF"
"140",4e+06,"83-04-01","Kalajoki","Finland","Finland",71,198,2001,"L","Jokinen","Jussi","LW/RW/C","FLA"
"168",5e+06,"91-06-03","Jyv_skyl_","Finland","Finland",70,183,2009,"R","Vatanen","Sami","D","ANA"
"177",2950000,"87-01-23","Narva","EST","Finland",71,210,2006,"L","Komarov","Leo","C/LW","TOR"
"195",742500,"93-03-26","Helsinki","Finland","Finland",74,195,NA,"L","Hannikainen","Markus","LW","CBJ"
"217",5400000,"83-03-12","Turku","Finland","Finland",75,215,2001,"L","Koivu","Mikko","C","MIN"
"250",925000,"97-07-26","Rauma","Finland","Finland",71,172,2015,"L","Aho","Sebastian","RW/LW","CAR"
"310",1e+06,"86-07-28","Turku","Finland","Finland",73,193,2004,"L","Korpikoski","Lauri","LW/RW","CBJ/DAL"
"346",925000,"98-05-07","Alvkarleby","Sweden","Finland",76,203,2016,"R","Puljujarvi","Jesse","RW","EDM"
"347",4400000,"87-12-23","Helsinki","Finland","Finland",74,212,2008,"L","Lehtera","Jori","C","STL"
"401",645000,"93-09-23","Helsinki","Finland","Finland",75,198,2012,"L","Lindbohm","Petteri","D","STL"
"403",4500000,"95-09-02","Tampere","Finland","Finland",75,213,2013,"L","Barkov","Aleksander","C","FLA"
"432",875000,"93-05-31","Pori","Finland","Finland",75,205,2011,"R","Armia","Joel","RW","WPG"
"439",3200000,"92-02-26","Oulu","Finland","Finland",70,184,2010,"L","Granlund","Mikael","C","MIN"
"451",792500,"94-06-06","Oulu","Finland","Finland",73,186,2015,"L","Nutivaara","Markus","D","CBJ"
"519",850000,"93-04-16","Oulu","Finland","Finland",72,183,2011,"L","Granlund","Markus","C","VAN"
"544",925000,"96-10-29","Nousiainen","Finland","Finland",76,211,2015,"L","Rantanen","Mikko","RW","COL"
"547",5e+06,"84-03-20","Vantaa","Finland","Finland",72,196,2002,"L","Filppula","Valtteri","C/LW","PHI/T.B"
"556",925000,"95-12-03","Jyv_skyl_","Finland","Finland",71,195,2014,"R","Honka","Julius","D","DAL"
"583",925000,"98-04-19","Tampere","Finland","Finland",77,206,2016,"R","Laine","Patrik","RW","WPG"
"602",575000,"93-03-09","Raahe","Finland","Finland",71,203,2011,"L","Salomaki","Miikka","RW","NSH"
