"","Salary","Born","City","Cntry","Nat","Ht","Wt","DftYr","Hand","Last.Name","First.Name","Position","Team"
"7",950000,"90-11-21","Stockholm","Sweden","Sweden",71,185,2009,"L","Rodin","Anton","RW","VAN"
"23",925000,"96-05-01","Calgary","Canada","Sweden",72,190,2014,"R","Nylander","William","C/RW","TOR"
"29",792500,"94-03-23","Boden","Sweden","Sweden",75,209,2012,"R","Sundqvist","Oskar","C","PIT"
"40",4500000,"86-08-01","Tibro","Sweden","Sweden",71,190,2005,"R","Stralman","Anton","D","T.B"
"41",3e+06,"92-11-12","SkellefteÎ","Sweden","Sweden",75,215,2011,"R","Larsson","Adam","D","EDM"
"46",925000,"94-09-22","Stockholm","Sweden","Sweden",74,196,2013,"L","Wennberg","Alex","C","CBJ"
"53",2500000,"94-12-02","Boden","Sweden","Sweden",73,192,2013,"R","Lindholm","Elias","C/RW","CAR"
"55",792500,"95-03-14","Molnlycke","Sweden","Sweden",72,201,2013,"L","Blidh","Anton","LW","BOS"
"57",4750000,"85-10-12","Malm_","Sweden","Sweden",75,210,2004,"L","Soderberg","Carl","C/LW","COL"
"94",3575000,"89-03-17","Vasteras","Sweden","Sweden",73,199,2007,"L","Backlund","Mikael","C","CGY"
"124",575000,"90-07-03","Vasteras","Sweden","Sweden",75,205,NA,"L","Rasmussen","Dennis","C","CHI"
"126",3e+06,"90-05-24","Borlange","Sweden","Sweden",76,215,2009,"L","Ekholm","Mattias","D","NSH"
"156",9e+05,"96-10-31","Stockholm","Sweden","Sweden",73,184,2015,"R","Forsbacka Karlsson","Jakob","C","BOS"
"160",1850000,"90-07-18","Lycksele","Sweden","Sweden",72,180,NA,"R","Karlsson","Melker","C/RW","S.J"
"167",7e+06,"90-05-31","Landsbro","Sweden","Sweden",72,191,2008,"R","Karlsson","Erik","D","OTT"
"171",4e+06,"93-03-01","Leksand","Sweden","Sweden",74,200,2011,"L","Rask","Victor","C","CAR"
"186",9e+05,"92-02-08","Stockholm","Sweden","Sweden",75,215,2010,"L","Nemeth","Patrik","D","DAL"
"187",1050000,"91-04-24","Sundsvall","Sweden","Sweden",72,184,2009,"L","Lander","Anton","C/LW/RW","EDM"
"197",4250000,"89-09-01","Halmstad","Sweden","Sweden",71,184,2008,"L","Nyquist","Gustav","RW/C/LW","DET"
"205",925000,"96-09-13","Kramfors","Sweden","Sweden",74,202,2014,"L","Kempe","Adrian","LW/C","L.A"
"228",925000,"97-01-02","Orebro","Sweden","Sweden",76,191,2015,"L","Carlsson","Gabriel","D","CBJ"
"234",832500,"95-02-09","Klagenfurt","AUT","Sweden",75,205,2013,"L","Burakovsky","Andre","LW/C","WSH"
"254",3e+06,"94-01-20","Helsingborg","Sweden","Sweden",75,205,2012,"L","Lindholm","Hampus","D","ANA"
"274",5500000,"81-01-12","Stockholm","Sweden","Sweden",72,194,2000,"L","Kronwall","Niklas","D","DET"
"287",4250000,"90-12-18","Ornskoldsvik","Sweden","Sweden",78,223,2009,"L","Hedman","Victor","D","T.B"
"313",1700000,"91-09-25","G_vle","Sweden","Sweden",71,186,2010,"R","Jarnkrok","Calle","C","NSH"
"316",3667000,"88-08-23","Sodertalje","Sweden","Sweden",71,186,2007,"L","Hagelin","Carl","LW","PIT"
"318",3e+06,"93-07-20","Karlstad","Sweden","Sweden",75,220,2011,"L","Klefbom","Oscar","D","EDM"
"390",4100000,"87-06-06","Eksjo","Sweden","Sweden",75,197,2005,"L","Hjalmarsson","Niklas","D","CHI"
"460",7e+05,"92-11-24","Stockholm","Sweden","Sweden",73,200,2011,"L","Claesson","Fredrik","D","OTT"
"477",4750000,"87-01-01","Sollentuna","Sweden","Sweden",71,189,2005,"R","Hornqvist","Patric","RW","PIT"
"482",1e+06,"91-12-02","Nassjo","Sweden","Sweden",72,190,2010,"R","Fast","Jesper","RW/LW","NYR"
"495",7e+05,"91-10-29","SkellefteÎ","Sweden","Sweden",73,202,2010,"L","Lindberg","Oscar","C","NYR"
"517",7e+06,"87-11-23","G_vle","Sweden","Sweden",73,213,2006,"L","Backstrom","Nicklas","C","WSH"
"528",4e+06,"93-07-12","Karlstad","Sweden","Sweden",73,193,2011,"L","Brodin","Jonas","D","MIN"
"534",1e+06,"93-01-08","Marsta","Sweden","Sweden",73,189,2011,"L","Karlsson","William","C","CBJ"
"541",6500000,"84-03-01","Winnipeg","Canada","Sweden",72,211,2002,"L","Steen","Alex","LW/C","STL"
"545",925000,"97-01-29","Karlstad","Sweden","Sweden",74,197,2015,"L","Eriksson Ek","Joel","C/RW/LW","MIN"
"548",1500000,"86-01-17","Gothenburg","Sweden","Sweden",75,209,2006,"L","Stalberg","Viktor","LW/RW","CAR/OTT"
"560",640000,"93-04-08","SkellefteÎ","Sweden","Sweden",69,180,2014,"R","Arvidsson","Viktor","LW/RW","NSH"
"561",925000,"95-05-20","Arvika","Sweden","Sweden",75,214,2013,"L","De la Rose","Jacob","LW","MTL"
"566",7e+05,"91-04-12","Norrkoping","Sweden","Sweden",75,203,2009,"L","Paajarvi","Magnus","LW","STL"
"582",7e+06,"80-09-26","Ornskoldsvik","Sweden","Sweden",73,190,1999,"L","Sedin","Daniel","LW","VAN"
"593",3e+06,"90-10-13","G_vle","Sweden","Sweden",74,196,2009,"R","Silfverberg","Jakob","RW/LW","ANA"
"596",1250000,"92-02-25","Stockholm","Sweden","Sweden",73,189,2010,"L","Nordstrom","Joakim","LW/C","CAR"
"598",842500,"93-09-23","Stockholm","Sweden","Sweden",71,196,2012,"R","Aberg","Pontus","LW","NSH"
