Erik Larsson (ice hockey),1905-01-01T00:00:00+02:00,1905-01-18,male,{Stockholm|Sweden}
Emil Bergman,1908-01-01T00:00:00+02:00,1908-07-28,,{Sweden|Gävle Municipality}
Gus Forslund,1908-01-01T00:00:00+02:00,1908-04-25,male,{Sweden|Umeå}
Erik Johansson (ice hockey),1927-01-01T00:00:00+02:00,1927-09-29,male,{Sweden|Södertälje}
Stig Andersson-Tvilling,1928-01-01T00:00:00+02:00,1928-07-15,male,{Sweden|Bromma}
Roland Stoltz (ice hockey b. 1931),1931-01-01T00:00:00+02:00,1931-08-01,,{Stockholm|Sweden}
Lars Björn,1931-01-01T00:00:00+02:00,1931-12-16,male,{Stockholm|Sweden}
Sven Tumba,1931-01-01T00:00:00+02:00,1931-08-27,male,{Stockholm|Sweden}
Hans Mild,1934-01-01T00:00:00+02:00,1934-07-31,,{Stockholm|Sweden}
Lars-Eric Lundvall,1934-01-01T00:00:00+02:00,1934-04-03,,{Sweden|Karlskoga}
Ronald Pettersson,1935-01-01T00:00:00+02:00,1935-04-16,male,{Sweden|Surahammar}
Anders Andersson (ice hockey),1937-01-01T00:00:00+02:00,1937-01-02,male,{Sweden|Skellefteå}
Kjell Svensson,1938-01-01T00:00:00+02:00,1938-09-10,,{Sweden|Södertälje}
Bert-Olov Nordlander,1938-01-01T00:00:00+02:00,1938-08-12,male,{Sweden|Sundsvall}
Carl-Göran Öberg,1938-01-01T00:00:00+02:00,1938-12-24,male,{Sweden|Valbo}
Ulf Sterner,1941-01-01T00:00:00+02:00,1941-02-11,male,{Sweden|Deje}
Anders Parmström,1942-01-01T00:00:00+02:00,1942-02-16,,{Stockholm|Sweden}
Leif Holmqvist,1942-01-01T00:00:00+02:00,1942-11-12,male,{Sweden|Gävle}
Håkan Wickberg,1943-01-01T00:00:00+02:00,1943-02-03,male,{Sweden|Gävle}
Leif Henriksson,1943-01-01T00:00:00+02:00,1943-12-26,male,{Sweden|Karlskoga}
Lars-Erik Sjöberg,1944-01-01T00:00:00+02:00,1944-05-04,male,{Sweden|Falun}
Lars-Göran Nilsson,1944-01-01T00:00:00+02:00,1944-03-09,male,{Sweden|Vuollerim}
Lennart Svedberg,1944-01-01T00:00:00+02:00,1944-02-29,male,{Sweden|Timrå}
Tord Lundström,1945-01-01T00:00:00+02:00,1945-03-04,male,{Sweden|Kiruna}
Henric Hedlund,1945-01-01T00:00:00+02:00,1945-04-07,male,{Sweden|Skellefteå Municipality}
Thommie Bergman,1947-01-01T00:00:00+02:00,1947-12-10,male,{Sweden|Munkfors|Monkfors}
Thommy Abrahamsson,1947-01-01T00:00:00+02:00,1947-04-08,male,{Sweden|Umeå}
Stig Larsson (ice hockey),1947-01-01T00:00:00+02:00,1947-11-22,male,{Sweden|Nacka}
Hardy Nilsson,1947-01-01T00:00:00+02:00,1947-06-23,male,{Sweden|Skellefteå}
Mats Åhlberg,1947-01-01T00:00:00+02:00,1947-05-16,male,{Sweden|Avesta Municipality}
Mats Lindh,1947-01-01T00:00:00+02:00,1947-09-12,male,{Sweden|Orsa}
Christer Abris,1947-01-01T00:00:00+02:00,1947-04-08,male,{Sweden|Umeå}
Stig Östling,1948-01-01T00:00:00+02:00,1948-12-31,male,Sweden
Inge Hammarström,1948-01-01T00:00:00+02:00,1948-01-20,male,{Sweden|Sundsvall}
Dan Söderström,1948-01-01T00:00:00+02:00,1948-04-05,male,{Sweden|Horndal}
Lars-Erik Esbjörs,1949-01-01T00:00:00+02:00,1949-11-11,,{Avesta|Sweden}
Leif Boork,1949-01-01T00:00:00+02:00,1949-07-03,male,{Stockholm|Sweden}
Per-Olov Brasar,1950-01-01T00:00:00+02:00,1950-09-30,male,{Sweden|Falun}
Per Bäckman,1950-01-01T00:00:00+02:00,1950-07-22,male,{Sweden|Surahammar}
Rolf Edberg,1950-01-01T00:00:00+02:00,1950-09-29,male,{Stockholm|Sweden}
Ulf Nilsson (ice hockey),1950-01-01T00:00:00+02:00,1950-05-11,male,{Sweden|Nynäshamn Municipality}
Ove Karlsson (ice hockey),1950-01-01T00:00:00+02:00,1950-07-09,,{Sweden|Gusum}
Peter Helander,1951-01-01T00:00:00+02:00,1951-12-04,,{Stockholm|Sweden}
Hardy Åström,1951-01-01T00:00:00+02:00,1951-03-29,,{Sweden|Luleå}
Börje Salming,1951-01-01T00:00:00+02:00,1951-04-17,male,{Sweden|Kiruna}
Anders Hedberg,1951-01-01T00:00:00+02:00,1951-02-25,,{Sweden|Örnsköldsvik}
Willy Lindström,1951-01-01T00:00:00+02:00,1951-05-05,male,{Sweden|Grums Municipality}
Dan Labraaten,1951-01-01T00:00:00+02:00,1951-06-09,male,{Sweden|Arvika}
Kent-Erik Andersson,1951-01-01T00:00:00+02:00,1951-05-24,,{Sweden|Örebro}
Lars Lindgren,1952-01-01T00:00:00+02:00,1952-10-12,male,{Sweden|Piteå}
Bob Nystrom,1952-01-01T00:00:00+02:00,1952-10-10,male,{Stockholm|Sweden}
Anders Broström,1952-01-01T00:00:00+02:00,1952-09-18,male,{Sweden|Ronneby}
Anders Kallur,1952-01-01T00:00:00+02:00,1952-07-06,male,{Sweden|Ludvika}
Martin Karlsson,1952-01-01T00:00:00+02:00,1952-04-26,male,{Sweden|Skellefteå}
Lars Zetterström,1953-01-01T00:00:00+02:00,1953-11-06,,{Stockholm|Sweden}
Pär Mårts,1953-01-01T00:00:00+02:00,1953-04-30,,{Sweden|Falun}
Leif Holmgren,1953-01-01T00:00:00+02:00,1953-05-25,,{Sweden|Kiruna}
Göran Högosta,1954-01-01T00:00:00+02:00,1954-04-15,male,{Sweden|Äppelbo}
Roland Eriksson,1954-01-01T00:00:00+02:00,1954-03-01,,{Sweden|Borlänge Municipality}
Sören Johansson,1954-01-01T00:00:00+02:00,1954-07-11,male,Sweden
Ulf Isaksson,1954-01-01T00:00:00+02:00,1954-03-19,male,{Sweden|Rosersberg}
Stefan Persson (ice hockey),1954-01-01T00:00:00+02:00,1954-12-22,male,{Sweden|Bjurholm}
Bengt Lundholm,1955-01-01T00:00:00+02:00,1955-08-04,,{Sweden|Falun}
Bo Berglund,1955-01-01T00:00:00+02:00,1955-04-06,male,{Sweden|Ångermanland}
Jörgen Pettersson (ice hockey),1956-01-01T00:00:00+02:00,1956-07-11,male,{Gothenburg|Sweden}
Thomas Gradin,1956-01-01T00:00:00+02:00,1956-02-18,male,{Sweden|Sollefteå}
Göran Lindblom,1956-01-01T00:00:00+02:00,1956-03-04,male,Sweden
Peter Lindmark,1956-01-01T00:00:00+02:00,1956-11-08,male,{Sweden|Kiruna}
