Si Griffis,1883-01-01T00:00:00+02:00,1883-09-22,male,{Kansas|Onaga Kansas|United States}
Roxy Beaudro,1884-01-01T00:00:00+02:00,1884-02-29,male,{Minnesota|Red Lake Falls Minnesota|United States}
Joe Linder,1886-01-01T00:00:00+02:00,1886-08-12,male,{Michigan|Hancock Michigan|United States}
Eddie Carpenter,1887-01-01T00:00:00+02:00,1887-06-15,male,{Michigan|Hartford Michigan|United States}
Harry Mummery,1889-01-01T00:00:00+02:00,1889-08-25,,{Chicago|Illinois|United States}
Raymie Skilton,1889-01-01T00:00:00+02:00,1889-09-26,,{Cambridge Massachusetts|Massachusetts|United States}
Johnny Matz,1891-01-01T00:00:00+02:00,1891-06-01,male,{Nebraska|Omaha Nebraska|United States}
Gerry Geran,1896-01-01T00:00:00+02:00,1896-08-03,,{Holyoke Massachusetts|Massachusetts|United States}
Alphonse Lacroix,1897-01-01T00:00:00+02:00,1897-10-21,male,{Newton Massachusetts|Massachusetts|United States}
Taffy Abel,1900-01-01T00:00:00+02:00,1900-05-28,male,{Michigan|Sault Ste. Marie Michigan|United States}
Billy Burch,1900-01-01T00:00:00+02:00,1900-11-20,,{Yonkers New York|United States|New York}
Bob Taylor (ice hockey),1901-01-01T00:00:00+02:00,1901-08-12,,{Brookline Massachusetts|Massachusetts|United States}
Jesse Spring,1901-01-01T00:00:00+02:00,1901-01-18,,{Pennsylvania|Alba Pennsylvania|United States}
Fern Headley,1901-01-01T00:00:00+02:00,1901-03-02,male,{North Dakota|Crystal North Dakota|United States}
Frank Peters (ice hockey),1902-01-01T00:00:00+02:00,1902-06-05,male,{Rouses Point New York|United States|New York}
Myles Lane,1903-01-01T00:00:00+02:00,1903-10-02,male,{Melrose Massachusetts|Massachusetts|United States}
Leroy Goldsworthy,1906-01-01T00:00:00+02:00,1906-10-18,male,{Minnesota|Two Harbors Minnesota|United States}
Elwin Romnes,1907-01-01T00:00:00+02:00,1907-01-01,male,{Minnesota|White Bear Lake Minnesota|United States}
John Kelley (ice hockey),1907-01-01T00:00:00+02:00,1907-07-11,male,{Cambridge Massachusetts|Massachusetts|United States}
Cliff Barton,1907-01-01T00:00:00+02:00,1907-09-03,,{Michigan|Sault Ste. Marie Michigan|United States}
Carl Voss,1907-01-01T00:00:00+02:00,1907-01-06,,{Chelsea Massachusetts|Massachusetts|United States}
Cecil Dillon,1908-01-01T00:00:00+02:00,1908-04-26,male,{Ohio|Toledo Ohio|United States}
Burr Williams,1909-01-01T00:00:00+02:00,1909-08-30,,{Oklahoma|Okemah Oklahoma|United States}
Mike Karakas,1910-01-01T00:00:00+02:00,1910-11-13,male,{Minnesota|Aurora Minnesota|United States}
Milton Brink,1910-01-01T00:00:00+02:00,1910-11-26,,{Minnesota|Hibbing Minnesota|United States}
Alex Levinsky,1910-01-01T00:00:00+02:00,1910-02-02,male,{Syracuse New York|United States|New York}
Roger Jenkins (ice hockey),1911-01-01T00:00:00+02:00,1911-11-18,male,{Wisconsin|Appleton Wisconsin|United States}
Pat Shea (ice hockey),1911-01-01T00:00:00+02:00,1911-10-29,male,{Idaho|Potlatch Idaho|United States}
Louis Trudel,1912-01-01T00:00:00+02:00,1912-07-21,,{Salem Massachusetts|Massachusetts|United States}
Joe Bretto,1912-01-01T00:00:00+02:00,1912-11-29,,{Minnesota|Hibbing Minnesota|United States}
Vic Heyliger,1912-01-01T00:00:00+02:00,1912-09-26,male,{Concord Massachusetts|Massachusetts|United States}
Peter Bessone,1913-01-01T00:00:00+02:00,1913-01-13,male,{New Bedford Massachusetts|Massachusetts|United States}
Al Suomi,1913-01-01T00:00:00+02:00,1913-10-29,male,{Minnesota|Eveleth Minnesota|United States}
Cully Dahlstrom,1913-01-01T00:00:00+02:00,1913-07-03,male,{Minnesota|Minneapolis|United States}
Rudy Ahlin,1914-01-01T00:00:00+02:00,1914-12-12,,{Minnesota|Eveleth Minnesota|United States}
Bob Blake (ice hockey),1914-01-01T00:00:00+02:00,1914-08-16,,{Wisconsin|Ashland Wisconsin|United States}
Tony Bukovich,1915-01-01T00:00:00+02:00,1915-08-30,male,{Michigan|Houghton County Michigan|United States}
Frank Brimsek,1915-01-01T00:00:00+02:00,1915-09-26,male,{Minnesota|Eveleth Minnesota|United States}
Bill Moe,1916-01-01T00:00:00+02:00,1916-10-02,male,{Danvers Massachusetts|Massachusetts|United States}
Sam LoPresti,1917-01-01T00:00:00+02:00,1917-01-30,male,{Minnesota|United States|Elcor Minnesota}
Eddie Barry (ice hockey),1919-01-01T00:00:00+02:00,1919-10-12,male,{Wellesley Massachusetts|Massachusetts|United States}
Goodwin Harding,1920-01-01T00:00:00+02:00,1920-12-11,,{Brookline Massachusetts|Massachusetts|United States}
Stan Priddy,1921-01-01T00:00:00+02:00,1921-02-26,,{Brookline Massachusetts|Massachusetts|United States}
Tom Brennan (ice hockey),1922-01-01T00:00:00+02:00,1922-01-22,,{Pennsylvania|Philadelphia|United States}
Fred Pearson (ice hockey),1923-01-01T00:00:00+02:00,1923-03-23,,{Beverly Massachusetts|Massachusetts|United States}
Herb Vaningen,1924-01-01T00:00:00+02:00,1924-11-17,,{Manhattan|United States|New York}
Ralph Warburton,1924-01-01T00:00:00+02:00,1924-02-07,male,{Rhode Island|Cranston Rhode Island|United States}
Bruce Norris,1924-01-01T00:00:00+02:00,1924-02-19,male,{Chicago|Illinois|United States}
Allan Opsahl,1924-01-01T00:00:00+02:00,1924-09-27,,{Minnesota|Minneapolis|United States}
Pete Babando,1925-01-01T00:00:00+02:00,1925-05-10,,{Pennsylvania|Lower Burrell Pennsylvania|United States|Braeburn_Pennsylvania}
Bruce Cunliffe,1925-01-01T00:00:00+02:00,1925-08-19,,{New Hampshire|Keene New Hampshire|United States}
Jack Garrity,1926-01-01T00:00:00+02:00,1926-04-01,male,{Woburn Massachusetts|Massachusetts|United States}
Donald Geary,1926-01-01T00:00:00+02:00,1926-07-10,,{Connecticut|Hamden Connecticut|United States}
Robert Baker (ice hockey),1926-01-01T00:00:00+02:00,1926-12-21,,{Minnesota|Thief River Falls Minnesota|United States}
Bruce Mather (ice hockey),1926-01-01T00:00:00+02:00,1926-07-25,male,{Belmont Massachusetts|Massachusetts|United States}
Ivan Irwin,1927-01-01T00:00:00+02:00,1927-03-13,male,{Chicago|Illinois|United States}
Richard Desmond (ice hockey),1927-01-01T00:00:00+02:00,1927-03-02,male,{Medford Massachusetts|Massachusetts|United States}
Robert Boeser,1927-01-01T00:00:00+02:00,1927-06-30,,{Minnesota|Minneapolis|United States}
Gerald Kilmartin,1927-01-01T00:00:00+02:00,1927-07-07,male,{Rhode Island|Providence Rhode Island|United States}
John Mulhern,1927-01-01T00:00:00+02:00,1927-07-18,male,{Boston|Massachusetts|United States}
Jack Kirrane,1928-01-01T00:00:00+02:00,1928-08-20,male,{Brookline Massachusetts|Massachusetts|United States}
Ray Barry (ice hockey),1928-01-01T00:00:00+02:00,1928-10-04,male,{Revere Massachusetts|Massachusetts|United States}
Guyle Fielder,1930-01-01T00:00:00+02:00,1930-11-21,male,{Idaho|Potlatch Idaho|United States}
Wellington Burtnett,1930-01-01T00:00:00+02:00,1930-08-26,male,{Somerville Massachusetts|Massachusetts|United States}
John Matchefts,1931-01-01T00:00:00+02:00,1931-06-18,male,{Minnesota|Eveleth Minnesota|United States}
Bob Johnson (ice hockey born 1931),1931-01-01T00:00:00+02:00,1931-03-04,male,{Minnesota|Minneapolis|United States}
John Aiken (ice hockey),1932-01-01T00:00:00+02:00,1932-01-01,male,{Arlington Massachusetts|Massachusetts|United States}
Willard Ikola,1932-01-01T00:00:00+02:00,1932-07-28,male,{Minnesota|Eveleth Minnesota|United States}
Ken Purpur,1932-01-01T00:00:00+02:00,1932-03-01,male,{North Dakota|Grand Forks North Dakota|United States}
Charlie Burns,1936-01-01T00:00:00+02:00,1936-02-14,male,{Detroit|Michigan|United States}
Herb Brooks,1937-01-01T00:00:00+02:00,1937-08-05,,{Minnesota|Saint Paul Minnesota|United States}
Wayne Hicks,1937-01-01T00:00:00+02:00,1937-04-09,male,{Aberdeen Washington|Washington (state)|United States}
David Brooks (ice hockey),1939-01-01T00:00:00+02:00,1939-12-27,male,{Minnesota|Saint Paul Minnesota|United States}
Lou Lamoriello,1942-01-01T00:00:00+02:00,1942-10-21,,{Rhode Island|Providence Rhode Island|United States}
Dan Dilworth,1942-01-01T00:00:00+02:00,1942-02-23,male,{Minnesota|International Falls Minnesota|United States}
Tracy Pratt,1943-01-01T00:00:00+02:00,1943-03-08,male,{New York City|United States|New York}
Stan Gilbertson,1944-01-01T00:00:00+02:00,1944-10-29,male,{Minnesota|Duluth Minnesota|United States}
Gerry Abel,1944-01-01T00:00:00+02:00,1944-12-25,male,{Detroit|Michigan|United States}
Dick Paradise,1945-01-01T00:00:00+02:00,1945-04-21,,{Minnesota|Saint Paul Minnesota|United States}
